Camera Deployment ID,,,,,,Elevation,Latitude,Longitude,Camera Deployment Begin Date,Camera Deployment Begin Time,Camera ID,Camera Deployment End Date,Vegetation Type,Quiet Period Setting,Sensitivity Setting
L-WL14-J18A,,,,,,3078,32.89345932,104.04507,12/26/2014,10:53,WL-006,3/8/2015,Coniferous Forest,,High
L-WL14-K16A,,,,,,2993,32.90385056,104.05305,12/26/2014,12:10,WL-014,3/8/2015,Coniferous Forest,,High
L-WL14-K17A,,,,,,3036,32.89599991,104.05292,12/26/2014,11:44,WL-018,3/8/2015,Coniferous Forest,,High
L-WL14-L10A,,,,,,2835,32.96681976,104.06629,10/28/2014,10:50,WL-029,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-L14A,,,,,,2870,32.93058014,104.06229,12/26/2014,13:50,WL-007,3/8/2015,Coniferous Forest,,High
L-WL14-L15A,,,,,,2890,32.9214592,104.06415,12/26/2014,13:15,WL-005,3/8/2015,Coniferous Forest,,High
L-WL14-L15B,,,,,,2980,32.91352081,104.06027,12/26/2014,12:37,WL-008,3/8/2015,Coniferous Forest,,High
L-WL14-N08A,,,,,,2710,32.98289108,104.08633,12/28/2014,12:20,DC-R03,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-N09A,,,,,,2620,32.97584915,104.08685,12/28/2014,13:18,DC-R02,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-O09A,,,,,,2670,32.97320938,104.09772,12/28/2014,10:20,DC-R05,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-O09B,,,,,,2620,32.9681015,104.09715,12/28/2014,10:45,WL-011,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-O11A,,,,,,,32.94979095,104.10017,12/27/2014,14:28,WL-027,,Coniferous-Deciduous Forest,,High
L-WL14-O12A,,,,,,3090,32.94123077,104.09911,12/27/2014,14:25,WL-002,5/18/2015,Coniferous Forest,,High
L-WL14-P09A,,,,,,2570,32.96743011,104.10668,12/28/2014,10:00,WL-004,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-P09B,,,,,,2776,32.97291946,104.10743,12/28/2014,11:10,R-11,3/8/2015,Coniferous-Deciduous Forest,,High
L-WL14-P12A,,,,,,2888,32.94166183,104.10883,12/27/2014,12:32,WL-001,5/18/2015,Coniferous Forest,,High
L-WL14-P12B,,,,,,3196,32.94889069,104.10873,12/27/2014,,WL-009,,Coniferous Forest,,High
L-WL14-Q10A,,,,,,2550,32.96522141,104.11711,12/28/2014,,WL-013?,3/13/2015,Coniferous-Deciduous Forest,,High
L-WL14-Q11A,,,,,,2595,32.95616913,104.11797,12/28/2014,13:00,WL-010,3/13/2015,Deciduous Forest,,High
L-WL14-Q12A,,,,,,2725,32.94163895,104.11766,12/27/2014,11:12,WL-026,5/18/2015,Coniferous-Deciduous Forest,,High
L-WL14-Q12B,,,,,,3000,32.94715118,104.11291,12/27/2014,12:00,WL-019,,Shrub,,High
L-WL14-R10A,,,,,,2824,32.96546173,104.12467,12/27/2014,10:55,WL-022,3/13/2015,Coniferous-Deciduous Forest,,High
L-WL14-R11A,,,,,,2668,32.95711899,104.12719,12/27/2014,,,,Deciduous Forest,,High
L-WL14-R12A,,,,,,2650,32.94244003,104.12947,12/27/2014,10:15,WL-003,5/18/2015,Deciduous Forest,,High
L-WL14-S10A,,,,,,2970,32.96384048,104.13837,12/27/2014,13:18,WL-012,,Coniferous-Deciduous Forest,,High
L-WL14-S11A,,,,,,2930,32.95793915,104.13707,12/27/2014,11:18,WL-013,5/18/2015,Coniferous-Deciduous Forest,,High
L-WL14-S14A,,,,,,2532,32.92734909,104.13929,12/27/2014,11:36,WL-017,4/15/2015,Coniferous-Deciduous Forest,,High
L-WL14-T14A,,,,,,2618,32.93091965,104.14964,12/27/2014,10:29,WL-016,3/10/2015,Coniferous-Deciduous Forest,,High
L-WL15-D15A,,,,,,3510,32.91255951,103.9818,8/1/2015,13:55,WL-012,,Shrub,,High
L-WL15-E09A,,,,,,3357,32.97198105,103.9883,7/29/2015,13:05,WL-013,,Coniferous Forest,,High
L-WL15-E10A,,,,,,3200,32.96175003,103.9936,8/1/2015,12:45,DC-R05,,Coniferous Forest,,High
L-WL15-E11A,,,,,,3103,32.95513916,103.99158,8/1/2015,11:25,WL-007,,Coniferous Forest,,High
L-WL15-E13A,,,,,,3283,32.93112946,103.99174,8/1/2015,12:20,WL-010,,Coniferous Forest,,High
L-WL15-E13B,,,,,,3224,32.93867111,103.9892,8/1/2015,11:50,R-09,,Coniferous Forest,,High
L-WL15-E14A,,,,,,3370,32.92118835,103.98867,8/1/2015,13:05,WL-019,,Coniferous Forest,,High
L-WL15-F06A,,,,,,3108,32.99623108,104.00214,7/29/2015,10:37,WL-008,,Coniferous Forest,,High
L-WL15-F06B,,,,,,3222,33.00028992,103.99974,7/29/2015,11:52,WL-018,,Coniferous Forest,,High
L-WL15-F07A,,,,,,2920,32.98472977,104.00457,7/29/2015,12:30,WL-027,,Coniferous-Deciduous Forest,,High
L-WL15-F09A,,,,,,3046,32.96730042,103.99745,7/29/2015,15:30,,,Coniferous-Deciduous Forest,,High
L-WL15-F09B,,,,,,2900,32.9742012,104.00209,7/29/2015,11:15,WL-026,,Coniferous Forest,,High
L-WL15-F10A,,,,,,3044,32.95906067,103.99767,8/1/2015,12:00,WL-014,,Coniferous Forest,,High
L-WL15-G06A,,,,,,2905,33.00024033,104.01356,5/19/2015,12:30,WL-012,,Coniferous Forest,,High
L-WL15-G06B,,,,,,2919,32.99493027,104.00889,7/29/2015,09:44,R-11,,Coniferous-Deciduous Forest,,High
L-WL15-G08A,,,,,,2900,32.98413086,104.00726,7/29/2015,11:55,,,Coniferous-Deciduous Forest,,High
L-WL15-G08B,,,,,,2968,32.97652817,104.00526,7/29/2015,10:50,WL-028,,Coniferous Forest,,High
L-WL15-H03A,,,,,,3107,33.02151108,104.02242,5/19/2015,9:40,WL-028,,Coniferous-Deciduous Forest,,High
L-WL15-H05A,,,,,,2919,33.00735855,104.02342,5/19/2015,11:35,WL-013,,Coniferous Forest,,High
L-WL15-H06A,,,,,,3177,32.99647141,104.02541,6/3/2015,14:15,WL-001,,Coniferous-Deciduous Forest,,High
