Camera Deployment ID,Elevation,Latitude,Longitude,Camera Deployment Begin Date,Camera Deployment Begin Time,Camera ID,Vegetation Type,Quiet Period Setting,Sensitivity Setting
L-WWL14-AE49A,2143,30.89686966,103.17769,11/10/2014,,,Coniferous-Deciduous Forest,,High
L-WWL14-AE50A,2012,30.88711929,103.17583,11/10/2014,,,Coniferous-Deciduous Forest,,High
L-WWL14-AE52A,1781,30.87161064,103.17346,11/10/2014,,,Broad-leaf Mixed Forest,,High
L-WWL14-AL31A,3028,31.05805016,103.24467,9/26/2014,,9,Coniferous Forest,,High
L-WWL14-AL31B,2997,31.06056976,103.24386,9/26/2014,,6,Coniferous Forest,,High
L-WWL14-AM30A,2573,31.06798935,103.2598,9/26/2014,,4,Coniferous-Deciduous Forest,,High
L-WWL14-AO46A,2432,30.92361069,103.2789,11/10/2014,,,Coniferous-Deciduous Forest,,High
L-WWL14-AO46B,2496,30.9269104,103.27876,11/10/2014,,,Coniferous-Deciduous Forest,,High
L-WWL14-F44A,4418,30.93927956,102.91032,11/19/2014,15:27,,Bare Rock,,High
L-WWL14-I56A,3848,30.82891083,102.94933,12/19/2014,13:30:00,,,,High
L-WWL14-I56B,3960,30.82895088,102.94865,12/19/2014,14:09:00,,,,High
L-WWL14-Q53A,4266,30.85733032,103.03326,12/24/2014,11:48:00,,Bare Rock,,High
L-WWL14-R54A,4519,30.84947968,103.04115,12/24/2014,10:45:00,,Bare Rock,,High
L-WWL14-R55A,4364,30.84358025,103.03836,12/24/2014,9:15:00,,Bare Rock,,High
L-WWL15-AC38A,2619,30.9911499,103.15559,1/4/2015,10:45:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AD38A,2648,30.99320984,103.15839,5/19/2015,,,Coniferous-Deciduous Forest,,High
L-WWL15-AD39A,2864,30.98597908,103.15792,1/4/2015,12:01:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AD39B,2668,30.98731041,103.16322,1/4/2015,12:53:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AE37A,2406,31.00614929,103.16725,1/23/2015,11:50:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AG26A,3476,31.10104942,103.19042,9/5/2015,9:35,07,Shrub,,High
L-WWL15-AG26B,3597,31.09931946,103.19556,9/5/2015,9:59,46,Shrub,,High
L-WWL15-AI26A,3502,31.09968948,103.20959,9/5/2015,10:44,03,Coniferous-Deciduous Forest,,High
L-WWL15-AJ32A,2733,31.05431938,103.22633,12/10/2015,13:43,39,Coniferous-Deciduous Forest,,High
L-WWL15-AJ32B,2733,31.05431938,103.22634,12/10/2015,13:45,11,Coniferous-Deciduous Forest,,High
L-WWL15-AK30A,2873,31.06378937,103.23433,12/10/2015,16:27,14,Coniferous-Deciduous Forest,,High
L-WWL15-AK31A,2872,31.06148911,103.23345,12/10/2015,14:47,33,Coniferous-Deciduous Forest,,High
L-WWL15-AL30A,2864,31.0689106,103.24558,12/10/2015,10:58,37,Coniferous-Deciduous Forest,,High
L-WWL15-AL31C,2830,31.06122971,103.24834,3/10/2015,11:58:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AL31D,2734,31.06336975,103.24654,12/10/2015,15:17,WWL36,Coniferous-Deciduous Forest,,High
L-WWL15-AL31E,2683,31.06331062,103.24079,12/10/2015,16:19,19,Coniferous-Deciduous Forest,,High
L-WWL15-AL32A,2988,31.05433083,103.24116,12/10/2015,12:01,17,Coniferous-Deciduous Forest,,High
L-WWL15-AM31A,2950,31.06269073,103.25087,3/10/2015,13:12:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AM31B,2901,31.05822945,103.25374,12/10/2015,12:33,01,Coniferous-Deciduous Forest,,High
L-WWL15-AM32A,3059,31.0532608,103.255,3/10/2015,14:48:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AM32B,3080,31.05079079,103.25583,3/10/2015,15:10:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AM32C,3074,31.04847908,103.25517,3/10/2015,15:50:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AM32D,2843,31.05106926,103.25439,12/10/2015,13:11,35,Deciduous Forest,,High
L-WWL15-AN27A,2692,31.09289932,103.2652,9/17/2015,,,Coniferous-Deciduous Forest,,High
L-WWL15-AN47A,2297,30.9109993,103.27078,4/13/2015,12:21:00,,Coniferous Forest,,High
L-WWL15-AO47A,2268,30.91537094,103.27452,4/13/2015,13:07:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AO47B,2279,30.91659927,103.27438,4/13/2015,14:18:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AO47C,2254,30.91624069,103.27495,4/13/2015,13:17:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AO47D,2276,30.9163208,103.27546,4/13/2015,13:27:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AP21A,2405,31.14720917,103.28702,3/9/2015,12:09:00,,Deciduous Forest,,High
L-WWL15-AP21B,2471,31.14883041,103.28361,3/9/2015,14:43:00,,Coniferous-Deciduous Forest,,High
L-WWL15-AR30A,1912,31.06491089,103.30856,3/9/2015,11:25:00,,Broad-leaf Mixed Forest,,High
L-WWL15-AR30B,1650,31.07180977,103.31197,3/9/2015,11:22:00,,Broad-leaf Mixed Forest,,High
L-WWL15-AR30C,1470,31.0725708,103.31209,3/9/2015,10:10:00,,Broad-leaf Mixed Forest,,High
L-WWL15-AR31A,2104,31.06258965,103.31136,3/9/2015,12:48:00,,Deciduous Forest,,High
L-WWL15-G44A,3753,30.93664932,102.92406,5/21/2015,12:13,8,Deciduous Forest,,High
L-WWL15-H44A,3446,30.93321991,102.9282,5/21/2015,12:25,9,Coniferous-Deciduous Forest,,High
L-WWL15-J45A,3316,30.93054962,102.95716,9/25/2015,,05,Coniferous Forest,,High
L-WWL15-J56A,3067,30.83395004,102.96087,5/26/2015,12:12,2,Coniferous-Deciduous Forest,,High
L-WWL15-K53A,2929,30.85926056,102.96361,1/14/2015,12:57:00,,Coniferous-Deciduous Forest,,High
L-WWL15-K53B,2923,30.8553791,102.97047,5/26/2015,14:07,1,Deciduous Forest,,High
L-WWL15-K54A,2985,30.84417915,102.96204,5/26/2015,12:48,3,Deciduous Forest,,High
L-WWL15-K55A,2860,30.84093094,102.96207,5/26/2015,7:50,7,Coniferous-Deciduous Forest,,High
L-WWL15-L46A,2978,30.92201042,102.97597,5/21/2015,13:41,20,Coniferous-Deciduous Forest,,High
