Camera Deployment ID,Elevation,Latitude,Longitude,Camera Deployment Begin Date,Camera Deployment Begin Time,Camera ID,Vegetation Type,Quiet Period Setting,Sensitivity Setting
L-XHG14-AA16A,1840,32.58277893,104.42783,9/5/2014,11:50,,Coniferous-Deciduous Forest,,
L-XHG14-AB17A,1800,32.57326126,104.44445,5/29/2014,15:40,,Broad-leaf Mixed Forest,,
L-XHG14-AC19A,1760,32.55624008,104.45556,5/29/2014,17:40,,Deciduous Forest,,
L-XHG14-AC20A,1780,32.55014038,104.44773,5/29/2014,18:05,,Coniferous-Deciduous Forest,,
L-XHG14-AE22A,1400,32.53162003,104.47526,5/30/2014,9:40,,Coniferous-Deciduous Forest,,
L-XHG14-AE23A,1560,32.52637863,104.47534,5/29/2014,12:27,,Evergreen Forest,,
L-XHG14-C03A,2877,32.70056152,104.16896,11/19/2014,13:57,,Coniferous-Deciduous Forest,,
L-XHG14-D02A,2804,32.70681,104.17845,11/19/2014,14:40,,Deciduous Forest,,
L-XHG14-D04A,2610,32.69308853,104.185593,11/19/2014,15:00,,Broad-leaf Mixed Forest,,
L-XHG14-E04A,2571,32.69343185,104.191279,11/19/2014,13:51,,Coniferous-Deciduous Forest,,
L-XHG14-F06A,2250,32.67401886,104.2013,11/19/2014,10:24,,Broad-leaf Mixed Forest,,
L-XHG14-F08A,2547,32.66107941,104.20495,11/20/2014,12:31,,Coniferous-Deciduous Forest,,
L-XHG14-G06A,2360,32.67789078,104.21571,11/20/2014,11:10,,Coniferous-Deciduous Forest,,
L-XHG14-H05A,2530,32.67963028,104.22503,11/20/2014,12:45,,Coniferous-Deciduous Forest,,
L-XHG14-I08A,2252,32.66077042,104.239775,11/20/2014,11:10,,Evergreen Forest,,
L-XHG14-J07A,2288,32.66139221,104.24341,11/20/2014,11:30,,Broad-leaf Mixed Forest,,
L-XHG14-W14A,1980,32.60092163,104.38975,9/5/2014,12:13,,Coniferous-Deciduous Forest,,
L-XHG14-X13A,2093,32.61400986,104.40176,9/5/2014,12:35,,Coniferous-Deciduous Forest,,
L-XHG14-X14A,2010,32.60358047,104.40053,9/5/2014,11:17,,Coniferous-Deciduous Forest,,
L-XHG14-X15A,1800,32.59775162,104.39882,9/5/2014,13:25,,Coniferous-Deciduous Forest,,
L-XHG14-Y15A,1910,32.59296036,104.40723,9/5/2014,14:35,,Coniferous-Deciduous Forest,,
L-XHG15-AA15A,2104,32.59073257,104.427672,5/10/2015,14:07,,Deciduous Forest,,
L-XHG15-AA17A,1890,32.57218933,104.427154,5/9/2015,13:08,,Deciduous Forest,,
L-XHG15-AB17A,1970,32.57484818,104.43795,5/10/2015,11:10,,Coniferous-Deciduous Forest,,
L-XHG15-AB17B,1850,32.57255173,104.437856,5/10/2015,12:20,,Coniferous-Deciduous Forest,,
L-XHG15-AB17C,2293,32.58158875,104.439835,5/10/2015,11:40,,Coniferous-Deciduous Forest,,
L-XHG15-AB18A,1900,32.56328964,104.43598,5/9/2015,12:10,,Deciduous Forest,,
L-XHG15-AB19A,1867,32.55762863,104.44287,5/9/2015,11:58,,Deciduous Forest,,
L-XHG15-AC19A,1790,32.55726624,104.452534,5/8/2015,12:57,,Coniferous-Deciduous Forest,,
L-XHG15-AC19B,1920,32.55952072,104.45099,5/8/2015,14:25,,Coniferous-Deciduous Forest,,
L-XHG15-AC19C,1676,32.55481339,104.456603,5/8/2015,09:50,,Deciduous Forest,,
L-XHG15-AC22A,2398,32.53435516,104.450381,5/8/2015,14:10,,Coniferous-Deciduous Forest,,
L-XHG15-AD22A,1731,32.52767944,104.46651,5/8/2015,14:50,,Coniferous-Deciduous Forest,,
L-XHG15-AE20A,1840,32.55014038,104.472416,5/8/2015,10:42,,Coniferous-Deciduous Forest,,
L-XHG15-AE24A,1980,32.5159111,104.46841,5/8/2015,11:18,,Deciduous Forest,,
