,Image.ID,Image.File.Name,File.Suffix,Folder.Name,Camera.ID,Deployment.ID,Date,Time,Work.Days,Number.of.Individuals,Independent.Detections,Comment,Class,Species_ID,Scientific_Name,Sex
1,L-XHG14-AA16A-0001,IMAG0001,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:51,1,1,1,,Camera Trapper,,,
2,L-XHG14-AA16A-0002,IMAG0002,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:51,1,2,,中间删除同时间段无效照片,Camera Trapper,,,
3,L-XHG14-AA16A-0003,IMAG0003,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:52,1,,,,Camera Trapper,,,
4,L-XHG14-AA16A-0004,IMAG0004,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:52,1,,,,Camera Trapper,,,
5,L-XHG14-AA16A-0005,IMAG0005,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:52,1,,,,Camera Trapper,,,
6,L-XHG14-AA16A-0006,IMAG0006,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:52,1,,,,Camera Trapper,,,
7,L-XHG14-AA16A-0007,IMAG0007,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:53,1,,,,Camera Trapper,,,
8,L-XHG14-AA16A-0008,IMAG0008,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/6/2014,11:53,1,,,,Camera Trapper,,,
9,L-XHG14-AA16A-0009,IMAG0009,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/7/2014,6:57,2,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
10,L-XHG14-AA16A-0010,IMAG0010,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/7/2014,6:57,2,,,,No Animal,,,
11,L-XHG14-AA16A-0011,IMAG0011,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/7/2014,16:45,2,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
12,L-XHG14-AA16A-0012,IMAG0012,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/7/2014,16:45,2,,,,No Animal,,,
13,L-XHG14-AA16A-0013,IMAG0013,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/8/2014,11:07,3,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
14,L-XHG14-AA16A-0014,IMAG0014,AVI,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/8/2014,11:08,3,,,,No Animal,,,
15,L-XHG14-AA16A-0015,IMAG0015,JPG,L-XHG14-AA16A,L-XHG-12,L-XHG14-AA16A,9/10/2014,13:13,5,1,1,,Mammals,Unknown Squirrel,Unknown Squirrel,
