Deployment Name,Other Treatment,Other Treatment Description,Users,Groups Audience,Feature,Feature Description,Bait,Bait Description,Proposed Latitude,Proposed Longitude,Proposed Date Out,Proposed Retrieval Date,Image Resolution Setting,Quiet Period Setting,Sensitivity Setting,Subproject Node ID,Group Content Visibility,Status
L-WL15-R14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-E12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-F08A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-G20A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-H03A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-H04A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J05A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J07A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J17A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-J19A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K05A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K06A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
L-WL16-K21A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,
