,BINOMIAL:,CITATION:,FAMILY:,GENUS:,COMMON:,TSN:,IUCN_ID:,ORDER:,IUCN_STATUS:,CLASS:
aburria aburri,Aburria aburri,Birdlife International 2011,CRACIDAE,Aburria,Wattled Guan,175744,22678440,GALLIFORMES,NT,AVES
aepypodius arfakianus,Aepypodius arfakianus,Birdlife International 2011,MEGAPODIIDAE,Aepypodius,Wattled Brush-turkey,175710,22678555,GALLIFORMES,LC,AVES
aepypodius bruijnii,Aepypodius bruijnii,Birdlife International 2011,MEGAPODIIDAE,Aepypodius,Bruijn's Brush-turkey,175711,22678559,GALLIFORMES,EN,AVES
alectoris barbara,Alectoris barbara,Birdlife International 2011,PHASIANIDAE,Alectoris,Barbary Partridge,175909,22678707,GALLIFORMES,LC,AVES
alectoris chukar,Alectoris chukar,Birdlife International 2011,PHASIANIDAE,Alectoris,Chukar,175908,22678691,GALLIFORMES,LC,AVES
alectoris graeca,Alectoris graeca,Birdlife International 2011,PHASIANIDAE,Alectoris,Rock Partridge,175910,22678684,GALLIFORMES,NT,AVES
alectoris magna,Alectoris magna,Birdlife International 2011,PHASIANIDAE,Alectoris,Rusty-necklaced Partridge,175911,22678703,GALLIFORMES,LC,AVES
alectoris melanocephala,Alectoris melanocephala,Birdlife International 2011,PHASIANIDAE,Alectoris,Arabian Partridge,175912,22678714,GALLIFORMES,LC,AVES
alectoris philbyi,Alectoris philbyi,Birdlife International 2011,PHASIANIDAE,Alectoris,Philby's Partridge,553830,22678698,GALLIFORMES,LC,AVES
alectoris rufa,Alectoris rufa,Birdlife International 2011,PHASIANIDAE,Alectoris,Red-legged Partridge,175913,22678711,GALLIFORMES,LC,AVES
alectura lathami,Alectura lathami,Birdlife International 2011,MEGAPODIIDAE,Alectura,Australian Brush-turkey,175704,22678551,GALLIFORMES,LC,AVES
ammoperdix griseogularis,Ammoperdix griseogularis,Birdlife International 2011,PHASIANIDAE,Ammoperdix,See-see Partridge,175947,22678652,GALLIFORMES,LC,AVES
ammoperdix heyi,Ammoperdix heyi,Birdlife International 2011,PHASIANIDAE,Ammoperdix,Sand Partridge,175948,22678657,GALLIFORMES,LC,AVES
anthus novaeseelandiae,Anthus novaeseelandiae,IUCN (International Union for Conservation of Nature),MOTACILLIDAE,Anthus,Australasian Pipit,558659,22718480,PASSERIFORMES,LC,AVES
apteryx australis,Apteryx australis,Birdlife International 2011,APTERYGIDAE,Apteryx,Southern Brown Kiwi,174394,22678122,STRUTHIONIFORMES,VU,AVES
apteryx haastii,Apteryx haastii,Birdlife International 2011,APTERYGIDAE,Apteryx,Great Spotted Kiwi,553790,22678132,STRUTHIONIFORMES,VU,AVES
apteryx owenii,Apteryx owenii,Birdlife International 2011,APTERYGIDAE,Apteryx,Little Spotted Kiwi,553789,22678129,STRUTHIONIFORMES,NT,AVES
aquila chrysaetos,Aquila chrysaetos,International Union for the Conservation of Nature,ACCIPITRIDAE,Aquila,Golden Eagle,175407,9990012,ACCIPITRIFORMES,LC,AVES
aramides cajaneus,Aramides cajaneus,Birdlife International 2011,RALLIDAE,Aramides,Grey-necked Wood-rail,176323,22692570,GRUIFORMES,LC,AVES
athene cunicularia,Athene cunicularia,International Union for the Conservation of Nature,STRIGIDAE,Athene,Burrowing Owl,177946,9990011,STRIGIFORMES,LC,AVES
bostrychia olivacea,Bostrychia olivacea,"Du Bus De Gisignies, 1838",THRESKIORNITHIDAE,Bostrychia,African Green Ibis,174960,22697472,PELECANIFORMES,LC,AVES
bubulcus ibis,Bubulcus ibis,"Linnaeus, 1758",ARDEIDAE,Bubulcus,Cattle Egret,174803,22697109,PELECANIFORMES,LC,AVES
carpococcyx renauldi,Carpococcyx renauldi,Birdlife International 2012,CUCULIDAE,Carpococcyx,Coral-billed Ground Cuckoo,554736,22684138,CUCULIFORMES,LC,AVES
casuarius bennetti,Casuarius bennetti,Birdlife International 2011,CASUARIIDAE,Casuarius,Dwarf Cassowary,174388,22678111,STRUTHIONIFORMES,NT,AVES
casuarius casuarius,Casuarius casuarius,Birdlife International 2011,CASUARIIDAE,Casuarius,Southern Cassowary,553788,22678108,STRUTHIONIFORMES,VU,AVES
casuarius unappendiculatus,Casuarius unappendiculatus,Birdlife International 2011,CASUARIIDAE,Casuarius,Northern Cassowary,174390,22678114,STRUTHIONIFORMES,VU,AVES
chamaepetes goudotii,Chamaepetes goudotii,Birdlife International 2011,CRACIDAE,Chamaepetes,Sickle-winged Guan,175748,22678446,GALLIFORMES,LC,AVES
chamaepetes unicolor,Chamaepetes unicolor,Birdlife International 2011,CRACIDAE,Chamaepetes,Black Guan,175749,22678443,GALLIFORMES,NT,AVES
chlamydera nuchalis,Chlamydera nuchalis,Birdlife International 2011,PTILONORHYNCHIDAE,Chlamydera,Great Bowerbird,559197,22703694,PASSERIFORMES,LC,AVES
colaptes auratus,Colaptes auratus,"Linnaeus, 1758",PICIDAE,Colaptes,Northern Red-shafted Flicker,178154,22726404,PICIFORMES,LC,AVES
crax alberti,Crax alberti,Birdlife International 2011,CRACIDAE,Crax,Blue-billed Curassow,175757,22678525,GALLIFORMES,CR,AVES
crax alector,Crax alector,Birdlife International 2011,CRACIDAE,Crax,Black Curassow,175758,22678534,GALLIFORMES,VU,AVES
crax blumenbachii,Crax blumenbachii,Birdlife International 2011,CRACIDAE,Crax,Red-billed Curassow,175759,22678544,GALLIFORMES,EN,AVES
crax daubentoni,Crax daubentoni,Birdlife International 2011,CRACIDAE,Crax,Yellow-knobbed Curassow,175760,22678530,GALLIFORMES,NT,AVES
