,BINOMIAL:,CITATION:,FAMILY:,GENUS:,COMMON:,TSN:,IUCN_ID:,ORDER:,IUCN_STATUS:,CLASS:
ammospermophilus harrisii,Ammospermophilus harrisii,IUCN (International Union for Conservation of Nature),SCIURIDAE,Ammospermophilus,Harris's Antelope Squirrel,180179,20495,RODENTIA,LC,MAMMALIA
callosciurus finlaysonii,Callosciurus finlaysonii,IUCN (International Union for Conservation of Nature),SCIURIDAE,Callosciurus,Finlayson's Squirrel,632330,3596,RODENTIA,LC,MAMMALIA
cebus brunneus,Cebus brunneus,IUCN (International Union for Conservation of Nature),CEBIDAE,Cebus,Brown Weeper Capuchin,944162,43940,PRIMATES,LC,MAMMALIA
equus asinus,Equus asinus,Linnaeus 1758,EQUIDAE,Equus,Domestic Donkey,180690,9990008,PERISSODACTYLA,LC,MAMMALIA
menetes berdmorei,Menetes berdmorei,IUCN (International Union for Conservation of Nature),SCIURIDAE,Menetes,Indochinese Ground Squirrel,632386,13144,RODENTIA,LC,MAMMALIA
microsciurus flaviventer,Microsciurus flaviventer,IUCN (International Union for Conservation of Nature),SCIURIDAE,Microsciurus,Amazon Dwarf Squirrel,632388,13410,RODENTIA,DD,MAMMALIA
myoprocta pratti,Myoprocta pratti,IUCN (International Union for Conservation of Nature),DASYPROCTIDAE,Myoprocta,Green Acouchi,825306,136663,RODENTIA,LC,MAMMALIA
peromyscus leucopus,Peromyscus leucopus,IUCN (International Union for the Conservation of Nature),CRICETIDAE,Peromyscus,White-footed Mouse,180278,16669,RODENTIA,LC,MAMMALIA
piliocolobus pennantii,Piliocolobus pennantii,IUCN (International Union for Conservation of Nature),CERCOPITHECIDAE,Piliocolobus,Pennant's Red Colobus,573050,41025,PRIMATES,EN,MAMMALIA
pithecia milleri,Pithecia milleri,IUCN (International Union for Conservation of Nature),PITHECIIDAE,Pithecia,Miller's Saki,945152,17407,PRIMATES,DD,MAMMALIA
pithecia vanzolinii,Pithecia vanzolinii,IUCN (International Union for Conservation of Nature),PITHECIIDAE,Pithecia,Vanzolini’s Bald-faced Saki,998626,43946,PRIMATES,DD,MAMMALIA
reithrodontomys megalotis,Reithrodontomys megalotis,IUCN (International Union for the Conservation of Nature),CRICETIDAE,Reithrodontomys,Western Harvest Mouse,180343,19410,RODENTIA,LC,MAMMALIA
urocitellus brunneus,Urocitellus brunneus,IUCN (International Union for Conservation of Nature),SCIURIDAE,Urocitellus,Idaho Ground Squirrel,930316,20497,RODENTIA,CR,MAMMALIA
