,Deployment.ID1,Deployment.ID,Image.Sequence.ID,Image.ID,Location,Image.File.Name,Photo.Type,Photo.Type.Identified.by,Genus.Species,Species.Common.Name,TSN.ID,IUCN.ID,IUCN.Status,Date.Time,Interest.Rank,Age,Count,Animal.recognizable,Individual.Animal.Notes,Digital.Origin,Embargo.Period,Restrictions.on.Access,Image.Use.Restrictions
846,d34171,L-WL16-G07A,,L-WL16-G07A-0073,,IMAG0073,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 10:59,,,1,,,,,,
847,d34171,L-WL16-G07A,,L-WL16-G07A-0074,,IMAG0074,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 10:59,,,1,,,,,,
848,d34171,L-WL16-G07A,,L-WL16-G07A-0075,,IMAG0075,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 10:59,,,1,,,,,,
849,d34171,L-WL16-G07A,,L-WL16-G07A-0077,,IMAG0077,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:00,,,1,,,,,,
850,d34171,L-WL16-G07A,,L-WL16-G07A-0078,,IMAG0078,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:00,,,1,,,,,,
851,d34171,L-WL16-G07A,,L-WL16-G07A-0079,,IMAG0079,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:00,,,1,,,,,,
852,d34171,L-WL16-G07A,,L-WL16-G07A-0081,,IMAG0081,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:14,,,1,,,,,,
853,d34171,L-WL16-G07A,,L-WL16-G07A-0082,,IMAG0082,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:14,,,1,,,,,,
854,d34171,L-WL16-G07A,,L-WL16-G07A-0083,,IMAG0083,,,Turdus mupinensis,Chinese Thrush,,,,4/10/2016 11:14,,,1,,,,,,
870,d34171,L-WL16-G07A,,L-WL16-G07A-0105,,IMAG0105,,,Turdus mupinensis,Chinese Thrush,,,,4/12/2016 11:23,,,1,,,,,,
871,d34171,L-WL16-G07A,,L-WL16-G07A-0106,,IMAG0106,,,Turdus mupinensis,Chinese Thrush,,,,4/12/2016 11:23,,,1,,,,,,
872,d34171,L-WL16-G07A,,L-WL16-G07A-0107,,IMAG0107,,,Turdus mupinensis,Chinese Thrush,,,,4/12/2016 11:23,,,1,,,,,,
879,d34171,L-WL16-G07A,,L-WL16-G07A-0117,,IMAG0117,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 8:29,,,1,,,,,,
891,d34171,L-WL16-G07A,,L-WL16-G07A-0133,,IMAG0133,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:32,,,1,,,,,,
892,d34171,L-WL16-G07A,,L-WL16-G07A-0134,,IMAG0134,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:32,,,1,,,,,,
893,d34171,L-WL16-G07A,,L-WL16-G07A-0135,,IMAG0135,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:32,,,1,,,,,,
894,d34171,L-WL16-G07A,,L-WL16-G07A-0137,,IMAG0137,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:33,,,1,,,,,,
895,d34171,L-WL16-G07A,,L-WL16-G07A-0138,,IMAG0138,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:33,,,1,,,,,,
896,d34171,L-WL16-G07A,,L-WL16-G07A-0139,,IMAG0139,,,Turdus mupinensis,Chinese Thrush,,,,4/14/2016 17:33,,,1,,,,,,
903,d34171,L-WL16-G07A,,L-WL16-G07A-0149,,IMAG0149,,,Turdus mupinensis,Chinese Thrush,,,,4/17/2016 7:48,,,1,,,,,,
