,Camera.Deployment.ID1,Camera.Deployment.ID,Camera.Site.Name,Camera.Deployment.Begin.Date,Camera.Deployment.End.Date,Actual.Latitude,Actual.Longitude,Camera.Failure.Details,Bait,Bait.Description,Feature,Feature.Methodology,Camera.ID,Quiet.Period.Setting,Sensitivity.Setting
0,d34168,L-WL15-R14A,L-WL15-R14A,11/10/2015,3/11/2016,32.92911911,104.12726,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU22,,high
1,d34169,L-WL16-E12A,L-WL16-E12A,3/19/2016,7/30/2016,32.94573975,103.98979,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU22,,high
2,d34170,L-WL16-F08A,L-WL16-F08A,3/19/2016,8/23/2016,32.98031998,104.00218,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
3,d34171,L-WL16-G07A,L-WL16-G07A,3/19/2016,8/23/2016,32.98477936,104.00492,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU24,,high
4,d34172,L-WL16-G20A,L-WL16-G20A,5/23/2016,7/20/2016,32.87181091,104.01121,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-007,,high
5,d34173,L-WL16-H03A,L-WL16-H03A,4/2/2016,7/17/2016,33.02759171,104.01746,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-001,,high
6,d34174,L-WL16-H04A,L-WL16-H04A,3/31/2016,8/23/2016,33.01708984,104.02205,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-017,,high
7,d34175,L-WL16-J05A,L-WL16-J05A,3/28/2016,5/4/2016,33.00405121,104.03932,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-028,,high
8,d34176,L-WL16-J07A,L-WL16-J07A,3/19/2016,7/4/2016,32.9892807,104.042294,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
9,d34177,L-WL16-J17A,L-WL16-J17A,3/20/2016,4/16/2016,32.8966217,104.04656,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-026,,high
10,d34178,L-WL16-J18A,L-WL16-J18A,3/20/2016,7/11/2016,32.89347076,104.04514,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R02,,high
11,d34179,L-WL16-J19A,L-WL16-J19A,3/20/2016,7/4/2016,32.88502121,104.0449,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-008,,high
12,d34180,L-WL16-K05A,L-WL16-K05A,3/19/2016,4/12/2016,33.0067482,104.05295,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-027,,high
13,d34181,L-WL16-K06A,L-WL16-K06A,3/18/2016,8/23/2016,32.99810028,104.05283,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-009,,high
14,d34182,L-WL16-K15A,L-WL16-K15A,3/21/2016,7/4/2016,32.91725922,104.05379,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU21,,high
15,d34183,L-WL16-K18A,L-WL16-K18A,3/20/2016,7/4/2016,32.88914108,104.05039,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
16,d34184,L-WL16-K21A,L-WL16-K21A,3/20/2016,7/4/2016,32.86397934,104.05332,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-003,,high
17,d34185,L-WL16-L08A,L-WL16-L08A,3/19/2016,8/23/2016,32.98445892,104.06604,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R05,,high
18,d34186,L-WL16-L11A,L-WL16-L11A,3/22/2016,8/22/2016,32.95333862,104.06446,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R11,,high
19,d34187,L-WL16-L12A,L-WL16-L12A,3/21/2016,7/4/2016,32.944561,104.06412,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU05,,high
20,d34188,L-WL16-M06A,L-WL16-M06A,3/19/2016,7/11/2016,32.99808884,104.07492,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-018,,high
21,d34189,L-WL16-M10A,L-WL16-M10A,3/31/2016,8/23/2016,32.96295929,104.07274,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,PU07,,high
22,d34197,L-WL14-N08A,L-WL14-N08A,12/28/2014,3/8/2015,32.98289108,104.08633,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R03,,high
23,d34212,L-WL14-R11A,L-WL14-R11A,12/27/2014,2/14/2015,32.95711899,104.12719,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
24,d34217,L-WL15-G06A,L-WL15-G06A,5/19/2015,7/11/2015,33.00024033,104.01356,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-012,,high
25,d34232,L-WL15-Q08A,L-WL15-Q08A,3/16/2015,7/31/2015,32.98365021,104.11839,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-014,,high
26,d34235,L-WL15-S14A,L-WL15-S14A,5/21/2015,6/19/2015,32.92726135,104.13709,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
27,d34240,L-WL15-D15A,L-WL15-D15A,8/2/2015,9/18/2015,32.91255951,103.9818,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-012,,high
28,d34241,L-WL15-E09A,L-WL15-E09A,7/29/2015,8/15/2015,32.97198105,103.9883,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-013,,high
29,d34242,L-WL15-E10A,L-WL15-E10A,8/1/2015,10/17/2015,32.96175003,103.9936,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,DC-R05,,high
30,d34243,L-WL15-E11A,L-WL15-E11A,8/1/2015,10/17/2015,32.95513916,103.99158,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-007,,high
31,d34244,L-WL15-E13A,L-WL15-E13A,8/1/2015,10/7/2015,32.93112946,103.99174,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-010,,high
32,d34245,L-WL15-E13B,L-WL15-E13B,8/1/2015,10/19/2015,32.93867111,103.9892,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,R-09,,high
33,d34246,L-WL15-E14A,L-WL15-E14A,8/1/2015,10/19/2015,32.92118835,103.98867,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-019,,high
34,d34247,L-WL15-F06A,L-WL15-F06A,7/29/2015,10/20/2015,32.99623108,104.00214,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-008,,high
35,d34248,L-WL15-F06B,L-WL15-F06B,7/29/2015,10/14/2015,33.00028992,103.99974,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-018,,high
36,d34249,L-WL15-F07A,L-WL15-F07A,7/29/2015,8/13/2015,32.98472977,104.00457,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-027,,high
37,d34250,L-WL15-F09A,L-WL15-F09A,7/29/2015,10/19/2015,32.96730042,103.99745,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
38,d34251,L-WL15-F09B,L-WL15-F09B,7/29/2015,10/17/2015,32.9742012,104.00209,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-026,,high
39,d34252,L-WL15-F10A,L-WL15-F10A,8/1/2015,9/24/2015,32.95906067,103.99767,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-014,,high
40,d34253,L-WL15-G06B,L-WL15-G06B,8/1/2015,10/10/2015,32.99493027,104.00889,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,R-11,,high
41,d34254,L-WL15-G08A,L-WL15-G08A,7/29/2015,10/17/2015,32.98413086,104.00726,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
42,d34255,L-WL15-G08B,L-WL15-G08B,7/29/2015,10/17/2015,32.97652817,104.00526,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-028,,high
43,d34256,L-WL15-J05A,L-WL15-J05A,5/30/2015,7/26/2015,33.00912094,104.04235,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-009,,high
44,d34257,L-WL15-L07A,L-WL15-L07A,9/14/2015,10/19/2015,32.99312973,104.06705,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,,,high
45,d34258,L-WL15-L14A,L-WL15-L14A,8/26/2015,10/1/2015,32.93067169,104.06222,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-005,,high
46,d34260,L-WL15-M08A,L-WL15-M08A,8/26/2015,10/1/2015,32.97631836,104.07663,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-003,,high
47,d34261,L-WL15-N06A,L-WL15-N06A,6/9/2015,8/11/2015,32.99435043,104.08764,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-005,,high
48,d34262,L-WL15-N08A,L-WL15-N08A,8/26/2015,10/1/2015,32.98073959,104.08522,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-017,,high
49,d34263,L-WL15-N10A,L-WL15-N10A,6/11/2015,8/12/2015,32.96152115,104.08759,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,WL-017,,high
50,d34264,L-WL15-N10B,L-WL15-N10B,6/9/2015,6/21/2015,32.96635056,104.08565,Camera Functioning,Scent,Carman's Magna Lure,"Trail, game",,P-08,,high
