,Camera.Deployment.ID,Other Treatment,Other Treatment Description,Users,Groups Audience,Feature,Feature.Methodology,Bait,Bait.Description,Proposed Latitude,Proposed Longitude,Proposed Date Out,Proposed Retrieval Date,Image Resolution Setting,Quiet Period Settingold,Sensitivity Settingold,Subproject Node ID,Group Content Visibility,Status,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Elevation,Actual.Latitude,Actual.Longitude,Camera.Deployment.Begin.Date,Camera Deployment Begin Time,Camera.ID,Camera.Deployment.End.Date,Vegetation Type,Quiet.Period.Setting,Sensitivity.Setting,Camera.Site.Name,Camera.Failure.Details
22,L-WL14-J18A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3078.0,32.89345932,104.04507,,10:53,WL-006,,Coniferous Forest,,high,L-WL14-J18A,Camera Functioning
23,L-WL14-K16A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2993.0,32.90385056,104.05305,,12:10,WL-014,,Coniferous Forest,,high,L-WL14-K16A,Camera Functioning
24,L-WL14-K17A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3036.0,32.89599991,104.05292,,11:44,WL-018,,Coniferous Forest,,high,L-WL14-K17A,Camera Functioning
25,L-WL14-L10A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2835.0,32.96681976,104.06629000000001,,10:50,WL-029,,Coniferous-Deciduous Forest,,high,L-WL14-L10A,Camera Functioning
26,L-WL14-L14A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2870.0,32.93058014,104.06229,,13:50,WL-007,,Coniferous Forest,,high,L-WL14-L14A,Camera Functioning
27,L-WL14-L15A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2890.0,32.9214592,104.06415,,13:15,WL-005,,Coniferous Forest,,high,L-WL14-L15A,Camera Functioning
28,L-WL14-L15B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2980.0,32.91352081,104.06026999999999,,12:37,WL-008,,Coniferous Forest,,high,L-WL14-L15B,Camera Functioning
30,L-WL14-N09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2620.0,32.97584915,104.08685,,13:18,DC-R02,,Coniferous-Deciduous Forest,,high,L-WL14-N09A,Camera Functioning
31,L-WL14-O09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2670.0,32.97320938,104.09772,,10:20,DC-R05,,Coniferous-Deciduous Forest,,high,L-WL14-O09A,Camera Functioning
32,L-WL14-O09B,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2620.0,32.9681015,104.09715,,10:45,WL-011,,Coniferous-Deciduous Forest,,high,L-WL14-O09B,Camera Functioning
33,L-WL14-O11A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,,32.94979095,104.10016999999999,,14:28,WL-027,,Coniferous-Deciduous Forest,,high,L-WL14-O11A,Camera Functioning
34,L-WL14-O12A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,3090.0,32.94123077,104.09911,,14:25,WL-002,,Coniferous Forest,,high,L-WL14-O12A,Camera Functioning
35,L-WL14-P09A,,,staff,Habitat Connectivity in Minshan Mountains,"Trail, game",,Scent,Carman's Magna Lure,,,,,,,high,36855,,,,,,,,2570.0,32.96743011,104.10668000000001,,10:00,WL-004,,Coniferous-Deciduous Forest,,high,L-WL14-P09A,Camera Functioning
